"","Country","FitW","FitW_score","IoEF","IoEF_score","PFI","PFI_score","DI","DI_score","FitW_or","IoEF_or","PFI_or","DI_or"
"51","GHANA",5,80,2,58,3,65.93,4,6.5,"5_veryGood","2_low","3_medium","4_good"
"52","BOTSWANA",5,72,3,64.9,3,64.61,4,7.62,"5_veryGood","3_medium","3_medium","4_good"
"53","DOMINICAN REPUBLIC",3,68,3,62.6,4,71.88,4,6.32,"3_medium","3_medium","4_good","4_good"
"54","MONTENEGRO",3,67,3,60.9,4,74.28,2,5.77,"3_medium","3_medium","4_good","2_low"
"55","GREECE",5,86,2,56.9,3,55.2,4,7.39,"5_veryGood","2_low","3_medium","4_good"
"56","MOLDOVA",3,62,2,58.5,4,77.62,2,5.78,"3_medium","2_low","4_good","2_low"
"57","GUYANA",5,73,2,56.9,3,67.5,4,6.01,"5_veryGood","2_low","3_medium","4_good"
"58","SURINAME",5,79,1,46.1,4,70.62,4,6.82,"5_veryGood","1_veryLow","4_good","4_good"
"59","HUNGARY",3,66,3,64.1,3,62.96,4,6.56,"3_medium","3_medium","3_medium","4_good"
"60","ALBANIA",3,67,3,65.3,3,57.86,4,6.08,"3_medium","3_medium","3_medium","4_good"
"61","PERU",5,70,3,66.5,2,52.74,4,6.53,"5_veryGood","3_medium","2_low","4_good"
"62","ARMENIA",3,54,3,65.1,4,70.61,2,5.35,"3_medium","3_medium","4_good","2_low"
"63","GEORGIA",3,58,3,68.7,3,61.69,2,5.31,"3_medium","3_medium","3_medium","2_low"
"64","ECUADOR",5,70,2,55,3,60.51,4,6.13,"5_veryGood","2_low","3_medium","4_good"
"65","BRAZIL",5,72,2,53.5,3,58.67,4,6.92,"5_veryGood","2_low","3_medium","4_good"
"66","MALAYSIA",3,53,3,67.3,3,62.83,4,7.25,"3_medium","3_medium","3_medium","4_good"
"67","SERBIA",3,60,3,63.5,3,59.16,4,6.22,"3_medium","3_medium","3_medium","4_good"
"68","LESOTHO",3,66,2,51.6,3,64.29,4,6.3,"3_medium","2_low","3_medium","4_good"
"69","PARAGUAY",3,65,3,61,3,55.96,4,6.18,"3_medium","3_medium","3_medium","4_good"
"70","SENEGAL",3,68,2,57.7,3,55.82,2,5.67,"3_medium","2_low","3_medium","2_low"
"71","PAPUA NEW GUINEA",3,61,2,51.7,3,67.62,4,6.1,"3_medium","2_low","3_medium","4_good"
"72","COLOMBIA",5,70,3,63.1,2,45.23,4,7.04,"5_veryGood","3_medium","2_low","4_good"
"73","BHUTAN",3,61,2,59,3,59.25,2,5.71,"3_medium","2_low","3_medium","2_low"
"74","MALAWI",3,66,2,52.8,3,60.34,2,5.74,"3_medium","2_low","3_medium","2_low"
"75","SINGAPORE",3,47,5,83.9,2,47.88,4,6.03,"3_medium","5_veryGood","2_low","4_good"
"76","INDONESIA",3,58,3,63.5,2,54.83,4,6.3,"3_medium","3_medium","2_low","4_good"
"77","C̫TE D'IVOIRE",3,49,3,60.4,3,68.83,2,4.11,"3_medium","3_medium","3_medium","2_low"
"78","MADAGASCAR",3,61,2,58.9,3,56.66,2,5.7,"3_medium","2_low","3_medium","2_low"
"79","FIJI",3,59,2,58,3,59.27,2,5.72,"3_medium","2_low","3_medium","2_low"
"80","THE GAMBIA",3,48,2,57.9,4,71.06,2,4.49,"3_medium","2_low","4_good","2_low"
"81","SIERRA LEONE",3,63,2,50.2,3,62.55,2,4.86,"3_medium","2_low","3_medium","2_low"
